AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-6012,Concierges,detailed,49240,4.7,,,,,20.44,42510,1.3,15.2,17.15,18.73,22.76,27.68,"31,620","35,660","38,950","47,350","57,570",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-7000,Tour and Travel Guides,minor,53500,2.5,,,,,21.02,43720,2.5,13.71,15.82,18.33,22.93,29.29,"28,520","32,910","38,120","47,700","60,930",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-7010,Tour and Travel Guides,broad,53500,2.5,,,,,21.02,43720,2.5,13.71,15.82,18.33,22.93,29.29,"28,520","32,910","38,120","47,700","60,930",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-7010,Tour and Travel Guides,detailed,53500,2.5,,,,,21.02,43720,2.5,13.71,15.82,18.33,22.93,29.29,"28,520","32,910","38,120","47,700","60,930",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9000,Other Personal Care and Service Workers,minor,1318510,0.7,,,,,19.7,40980,0.5,13,15,17.76,22.09,28.65,"27,040","31,200","36,940","45,950","59,580",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9010,Childcare Workers,broad,518910,1.4,,,,,16.84,35030,0.5,11.66,14.12,16.82,18.55,22.12,"24,260","29,360","34,980","38,570","46,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9011,Childcare Workers,detailed,518910,1.4,,,,,16.84,35030,0.5,11.66,14.12,16.82,18.55,22.12,"24,260","29,360","34,980","38,570","46,010",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9030,Recreation and Fitness Workers,broad,654420,0.8,,,,,21.82,45380,0.7,13.58,15.96,18.63,24.33,33.78,"28,250","33,200","38,760","50,600","70,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,322930,1.3,,,,,25.2,52420,1,13.85,16.96,22.67,29.68,39.95,"28,800","35,280","47,160","61,730","83,100",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9032,Recreation Workers,detailed,331490,1.1,,,,,18.52,38520,0.4,13.27,15.28,17.58,20.9,24.24,"27,600","31,780","36,560","43,470","50,410",,
